top - 16:54:17 up 15 min,  1 user,  load average: 0.07, 0.10, 0.04
Tasks: 322 total,   1 running, 321 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.5 sy,  0.0 ni, 99.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  14734.7 total,  13407.8 free,    937.2 used,    788.2 buff/cache     
MiB Swap:   4096.0 total,   4096.0 free,      0.0 used.  13797.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2842 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2843 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2871 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2872 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2873 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
   2890 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2891 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2892 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2906 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2910 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2927 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2928 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2957 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2958 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
